"","Country","Region","Score","Economy","Family","Health","Freedom","Trust","Generosity"
"105","Honduras","Latin America and Caribbean",4.21108882748606,1.43249032588807,2.99171223195534,2.89431122751295,2.67019976430611,0.61313580958098,1.75052812332601
"106","Tajikistan","Central and Eastern Europe",4.20932980959655,0.939569471123956,2.68469054099504,2.38919125195606,3.14028474821852,1.35401947575158,1.74649902745871
"107","Tunisia","Middle East and Northern Africa",4.16799288919307,2.12022139496364,1.89606681277876,3.07265009943696,1.74705607773221,0.571182047958369,0.488888972124444
"108","Palestinian Territories","Middle East and Northern Africa",4.14688467451896,1.44055127225594,2.90417104465036,2.74878371003118,1.62940181393184,1.15934324141283,0.855308634018367
"109","Bangladesh","Southern Asia",4.12841498667911,0.956557614812677,1.35252703224679,2.50515523942007,2.7148937525898,1.12915809386422,1.61331080180764
"110","Iran","Middle East and Northern Africa",4.12137891512107,2.42742767042243,1.70837097677217,2.90659466604145,1.99746212816094,0.526712857373375,2.89532349437592
"111","Ukraine","Central and Eastern Europe",4.1169813703973,1.92276430274034,3.77393509916437,2.80603702520641,1.67090337448098,0.266006612772056,1.16121583722607
"112","Iraq","Middle East and Northern Africa",4.11346333461828,2.37133792121788,2.56941228932532,2.50819486997119,0,1.23866909047656,1.36244256856077
"113","South Africa","Sub-Saharan Africa",4.08268052155186,2.21493149915458,3.71714314610989,1.15289439314312,2.20856141210802,0.798109675064824,0.910195562625714
"114","Ghana","Sub-Saharan Africa",4.07476494104906,1.31280331921993,2.13217700434507,1.67104730517263,2.81612031533948,0.391239040399292,1.7550893639305
"115","Zimbabwe","Sub-Saharan Africa",4.0545362353197,0.652094467371609,3.24046726168792,1.39385798217517,1.71998695089968,0.725791092396298,1.44340458929044
"116","Liberia","Sub-Saharan Africa",4.02023538647427,0.171325188475493,2.47776074519706,1.42408773258769,1.89756574363399,0.559862617627643,1.85201572677588
"117","India","Southern Asia",4.01495833280574,1.5520088948709,1.19777680436573,2.14560442011962,2.64612353847471,0.762893669591455,2.01264741673062
"118","Sudan","Sub-Saharan Africa",4.00176569863441,1.25382606683883,3.18172994891555,1.53555473238703,0.670476333166531,1.31700673530508,1.44910614004605
"119","Haiti","Latin America and Caribbean",3.97362141240226,0.641819768568373,2.33135673804113,1.61754147971796,1.62448015450774,1.54294615817631,3.51116699665863
"120","Congo (Kinshasa)","Sub-Saharan Africa",3.97274190345751,0,3.14144217669347,0.408309824442411,1.5034339362394,0.685005208506223,1.88789748619786
"121","Nepal","Southern Asia",3.97010337662324,0.866178765386561,2.71249035889906,2.36816367074625,2.5460941361255,0.530665674314263,2.45516377604277
"122","Ethiopia","Sub-Saharan Africa",3.96834435873373,0.458944567386668,1.89534514707696,1.8343962182144,2.88981218887866,1.35186339378382,1.84920296173645
"123","Sierra Leone","Sub-Saharan Africa",3.96394681400996,0.794640874187454,2.99870925158581,0,2.71622393081253,0.789305673696482,1.63353230182087
"124","Mauritania","Sub-Saharan Africa",3.90150167893237,1.09260713948128,2.72689229616536,1.49374940261544,1.6116439346584,1.56863946829209,1.66485282063836
"125","Kenya","Sub-Saharan Africa",3.88655002687153,0.877584402933946,3.13378624490049,1.72530262857142,2.80767368362515,0.524556775405618,2.85396824622856
"126","Djibouti","Sub-Saharan Africa",3.84257457963379,1.05935272789797,1.85772440027457,1.51111277165404,3.0643315717007,2.52486182099245,1.37544210428356
"127","Armenia","Central and Eastern Europe",3.82586390968345,1.84850734604998,2.43832014575535,3.03921416337462,1.32000235932508,0.35036331976056,0.597142415804308
"128","Botswana","Sub-Saharan Africa",3.81003274867786,2.39073231755373,3.46600348188441,0.198866787837748,3.29185855669849,1.12062360274185,0.795252299392599
"129","Myanmar","Southeastern Asia",3.78804502505899,0.652286967583379,2.22476985156263,2.0089043228685,2.92752274149303,1.70995267392885,6.05033362050074
"130","Georgia","Central and Eastern Europe",3.77924993561145,1.78519883890405,1.20995099098735,3.03654928179556,2.69873208718364,3.44353241275436,0.421686693884977
"131","Malawi","Sub-Saharan Africa",3.77485239088767,0.0385962924599284,1.29065204251008,0.939454034169863,2.86347466006863,0.626790995376776,2.51841297909168
"132","Sri Lanka","Southern Asia",3.75638270304782,2.00979846098695,3.19744971050687,2.94827507948902,3.5732577597168,0.824611515918507,3.10377219000106
"133","Cameroon","Sub-Saharan Africa",3.73967203309748,1.01664174341146,2.78522171093237,0.974430604895095,3.27948789922711,0.51979542772682,1.56739431305579
"134","Bulgaria","Central and Eastern Europe",3.70976872897582,2.43551267931678,3.47070999733092,3.19157043990275,2.03430806493053,0.0783376448285149,0.906242487435157
"135","Egypt","Middle East and Northern Africa",3.6886605143017,2.12183358423721,2.34384469235919,2.56961206261371,1.14980605572691,0.568127598504046,0.858349461088026
"136","Yemen","Middle East and Northern Africa",3.58575796776539,1.31499300912882,2.13653837532549,1.66821586849488,2.36578847803459,0.705577823948574,0.694144799326434
"137","Angola","Sub-Saharan Africa",3.54705957419617,1.82341013094043,2.69965726011492,0.694659677867912,0.690628533240875,0.639817323931976,0.938399233696802
"138","Mali","Sub-Saharan Africa",3.51363823429549,0.627406315212078,3.24831145409876,0.857050899092203,2.58433676002895,1.10966351940575,1.4290366813863
"139","Congo (Brazzaville)","Sub-Saharan Africa",3.50836118062696,1.63302742149969,2.07996605965851,1.29292559236807,2.75785850918395,1.04983224480049,0.941744143473427
"140","Comoros","Sub-Saharan Africa",3.47933738545005,0.57523875782235,2.48733065993829,1.51211210224619,1.52418471651398,1.78775129826542,1.32587662304811
"141","Uganda","Sub-Saharan Africa",3.45734966183118,0.507767433596889,3.55495662382334,1.40993054919891,3.04125297953635,0.652843652487177,2.20961699016779
"142","Senegal","Sub-Saharan Africa",3.4336029203228,0.878234091148671,3.06296887581542,1.81295224925786,2.44566568030946,0.962421088357661,1.58449896532262
"143","Gabon","Sub-Saharan Africa",3.42656684876476,2.55120530659068,2.84047620227433,1.80595693511281,2.1225653900086,0.996379379349838,0.518613056730362
